mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-2280197997287370632,208000,1825 WALNUT ST,ERIE,PA,16502,100,50000,,2023-06-02,False
-2277751460718257441,208000,99-31 64TH AVE # A11,REGO PARK,NY,11374,200,179900,,2023-06-02,False
-2277546762641551950,760000,202 Sugar Maple CT,BYRON,GA,31008,100,237500,,2023-06-02,False
-2276700627214050709,229000,2202 W Glenrosa Ave #16,PHOENIX,AZ,85015,200,240000,,2023-06-02,False
-2276038702967006083,881000,2 Bishop Hill Rd,EAST HAMPTON,CT,06424,100,225000,,2023-06-02,False
-2275639976913055966,756000,521 N Mangum Street #16,DURHAM,NC,27701,200,399990,,2023-06-02,False
-2274062690423663698,881000,50 Mountainview Rd,EAST HAMPTON,CT,06424,100,125000,,2023-06-02,False
-2273780381401730882,881000,9 Lake Dr,EAST HAMPTON,CT,06424,100,1245000,,2023-06-02,False
-2273086404341519156,229000,410 Preston Dr,SOUTH BEND,IN,46615,100,165000,,2023-06-02,False
-2272239576249327163,229000,705 S 23rd St,SOUTH BEND,IN,46615,100,129900,,2023-06-02,False
-2272239576248736771,229000,3623 Rexford Dr,SOUTH BEND,IN,46615,100,180000,,2023-06-02,False
-2271020463808235061,208000,608 KENNY ST,AVA,MO,65608,100,199900,,2023-06-02,False
-2269305626131546879,208000,4027 TWILIGHT DR,COLUMBUS,GA,31909,100,195000,,2023-06-02,False
-2269305621828777273,208000,5549 SOUTHLEA LN,COLUMBUS,GA,31909,100,264500,,2023-06-02,False
-2269305621828711670,208000,6454 GEORGIAN WAY,COLUMBUS,GA,31909,100,274000,,2023-06-02,False
-2263904148165886517,15000,190 Devon Circle,ABERDEEN,NC,28315,100,573500,,2023-06-02,False
-2261798847599339308,229000,1123 W Windjammer Dr,GILBERT,AZ,85233,200,325000,,2023-06-02,False
-2260581691347536580,208000,1382 MAIN RD,WEST ENFIELD,ME,04493,100,349900,,2023-06-02,False
-2260137331692782818,229000,5258 Cedarstone Ct #C,SAINT LOUIS COUNTY SOUTH,MO,63129,200,134900,,2023-06-02,False
-2259855057095958827,229000,4422 Pegasus Dr,SAINT LOUIS COUNTY SOUTH,MO,63129,200,214900,,2023-06-02,False
-2259290499296837228,229000,1062 Mersey Bend Dr,SAINT LOUIS COUNTY SOUTH,MO,63129,200,169999,,2023-06-02,False
-2259290469174104429,229000,25 Kassebaum Ln #204,SAINT LOUIS COUNTY SOUTH,MO,63129,200,185000,,2023-06-02,False
-2259290464871203619,229000,1053 Humber Cir,SAINT LOUIS COUNTY SOUTH,MO,63129,200,179900,,2023-06-02,False
-2258725924284406836,229000,5511 Remington Villas Ct,SAINT LOUIS COUNTY SOUTH,MO,63129,200,304900,,2023-06-02,False
-2258443632475520423,229000,9 Berview Cir #B,SAINT LOUIS COUNTY SOUTH,MO,63129,200,119000,,2023-06-02,False
-2257444184643815936,740000,2724 Orlando Road,OKLAHOMA CITY,OK,73120,100,250000,,2023-06-02,False
